#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12739038	NW_005081125.1	JH766715.1	GPS_002036693.1
GeoFor_1.0	C12739054	NW_005081148.1	JH766738.1	GPS_002036716.1
GeoFor_1.0	C12739082	NW_005081151.1	JH766741.1	GPS_002036719.1
GeoFor_1.0	C12739088	NW_005081191.1	JH766781.1	GPS_002036759.1
GeoFor_1.0	C12739110	NW_005081154.1	JH766744.1	GPS_002036722.1
GeoFor_1.0	C12739114	NW_005081141.1	JH766731.1	GPS_002036709.1
GeoFor_1.0	C12739122	NW_005081228.1	JH766818.1	GPS_002036796.1
GeoFor_1.0	C12739136	NW_005081185.1	JH766775.1	GPS_002036753.1
GeoFor_1.0	C12739138	NW_005081231.1	JH766821.1	GPS_002036799.1
GeoFor_1.0	C12739154	NW_005081176.1	JH766766.1	GPS_002036744.1
GeoFor_1.0	C12739156	NW_005081150.1	JH766740.1	GPS_002036718.1
GeoFor_1.0	C12739168	NW_005081143.1	JH766733.1	GPS_002036711.1
GeoFor_1.0	C12739212	NW_005081219.1	JH766809.1	GPS_002036787.1
GeoFor_1.0	C12739214	NW_005081165.1	JH766755.1	GPS_002036733.1
GeoFor_1.0	C12739232	NW_005081162.1	JH766752.1	GPS_002036730.1
GeoFor_1.0	C12739256	NW_005081189.1	JH766779.1	GPS_002036757.1
GeoFor_1.0	C12739296	NW_005081226.1	JH766816.1	GPS_002036794.1
GeoFor_1.0	C12739300	NW_005081196.1	JH766786.1	GPS_002036764.1
GeoFor_1.0	C12739314	NW_005081192.1	JH766782.1	GPS_002036760.1
GeoFor_1.0	C12739352	NW_005081152.1	JH766742.1	GPS_002036720.1
GeoFor_1.0	C12739362	NW_005081213.1	JH766803.1	GPS_002036781.1
GeoFor_1.0	C12739384	NW_005081215.1	JH766805.1	GPS_002036783.1
GeoFor_1.0	C12739426	NW_005081229.1	JH766819.1	GPS_002036797.1
GeoFor_1.0	C12739462	NW_005081139.1	JH766729.1	GPS_002036707.1
GeoFor_1.0	C12739466	NW_005081186.1	JH766776.1	GPS_002036754.1
GeoFor_1.0	C12739474	NW_005081164.1	JH766754.1	GPS_002036732.1
GeoFor_1.0	C12739492	NW_005081210.1	JH766800.1	GPS_002036778.1
GeoFor_1.0	C12739504	NW_005081184.1	JH766774.1	GPS_002036752.1
GeoFor_1.0	C12739512	NW_005081212.1	JH766802.1	GPS_002036780.1
